route_type,threshold_id
1,threshold_id_01
1,threshold_id_02
1,threshold_id_03
1,threshold_id_04
1,threshold_id_05
1,threshold_id_06
1,threshold_id_13
1,threshold_id_24
1,threshold_id_25
1,threshold_id_26
1,threshold_id_29
0,threshold_id_01
0,threshold_id_02
0,threshold_id_03
0,threshold_id_04
0,threshold_id_05
0,threshold_id_06
2,threshold_id_07
2,threshold_id_08
2,threshold_id_09
2,threshold_id_10
2,threshold_id_11
2,threshold_id_12
3,threshold_id_14
3,threshold_id_17
3,threshold_id_20
3,threshold_id_21
3,threshold_id_22
