time_slice_id,time_slice_start_sec,time_slice_end_sec,time_slice_start_date_time,time_slice_end_date_time
time_slice_01,0,1800,0:00:00,0:30:00
time_slice_02,1800,3600,0:30:00,1:00:00
time_slice_03,3600,5400,1:00:00,1:30:00
time_slice_04,5400,7200,1:30:00,2:00:00
time_slice_05,7200,9000,2:00:00,2:30:00
time_slice_06,9000,10800,2:30:00,3:00:00
time_slice_07,10800,12600,3:00:00,3:30:00
time_slice_08,12600,14400,3:30:00,4:00:00
time_slice_09,14400,16200,4:00:00,4:30:00
time_slice_10,16200,18000,4:30:00,5:00:00
time_slice_11,18000,19800,5:00:00,5:30:00
time_slice_12,19800,21600,5:30:00,6:00:00
time_slice_13,21600,23400,6:00:00,6:30:00
time_slice_14,23400,25200,6:30:00,7:00:00
time_slice_15,25200,27000,7:00:00,7:30:00
time_slice_16,27000,28800,7:30:00,8:00:00
time_slice_17,28800,30600,8:00:00,8:30:00
time_slice_18,30600,32400,8:30:00,9:00:00
time_slice_19,32400,34200,9:00:00,9:30:00
time_slice_20,34200,36000,9:30:00,10:00:00
time_slice_21,36000,37800,10:00:00,10:30:00
time_slice_22,37800,39600,10:30:00,11:00:00
time_slice_23,39600,41400,11:00:00,11:30:00
time_slice_24,41400,43200,11:30:00,12:00:00
time_slice_25,43200,45000,12:00:00,12:30:00
time_slice_26,45000,46800,12:30:00,13:00:00
time_slice_27,46800,48600,13:00:00,13:30:00
time_slice_28,48600,50400,13:30:00,14:00:00
time_slice_29,50400,52200,14:00:00,14:30:00
time_slice_30,52200,54000,14:30:00,15:00:00
time_slice_31,54000,55800,15:00:00,15:30:00
time_slice_32,55800,57600,15:30:00,16:00:00
time_slice_33,57600,59400,16:00:00,16:30:00
time_slice_34,59400,61200,16:30:00,17:00:00
time_slice_35,61200,63000,17:00:00,17:30:00
time_slice_36,63000,64800,17:30:00,18:00:00
time_slice_37,64800,66600,18:00:00,18:30:00
time_slice_38,66600,68400,18:30:00,19:00:00
time_slice_39,68400,70200,19:00:00,19:30:00
time_slice_40,70200,72000,19:30:00,20:00:00
time_slice_41,72000,73800,20:00:00,20:30:00
time_slice_42,73800,75600,20:30:00,21:00:00
time_slice_43,75600,77400,21:00:00,21:30:00
time_slice_44,77400,79200,21:30:00,22:00:00
time_slice_45,79200,81000,22:00:00,22:30:00
time_slice_46,81000,82800,22:30:00,23:00:00
time_slice_47,82800,84600,23:00:00,23:30:00
time_slice_48,84600,86400,23:30:00,0:00:00
time_slice_49,86400,88200,0:00:00,0:30:00
time_slice_50,88200,90000,0:30:00,1:00:00
time_slice_51,90000,91800,1:00:00,1:30:00
time_slice_52,91800,93600,1:30:00,2:00:00
time_slice_53,93600,95400,2:00:00,2:30:00
time_slice_54,95400,97200,2:30:00,3:00:00
time_slice_55,97200,99000,3:00:00,3:30:00
time_slice_56,99000,100800,3:00:00,4:00:00
time_slice_57,100800,102600,4:00:00,4:30:00
time_slice_58,102600,104400,4:30:00,5:00:00
time_slice_59,104400,106200,5:00:00,5:30:00
